Year,Date,Latitude,Longitude,Depth,A. robusta,A. unicornis,C. divergens,C. dentata,E. huxleyi,G. ericsonii,S. florida,NiCompounds,Phosphate,Silicate,Salinity,Temperature,Chlorophyll
2003,2003-05-22,-29.5,-26.9,13,0,60.7533414338,0,0,1761.8469015796,1397.3268529769,0,0.0809,0.0991,1.08,35.804,21.33,0.03
2003,2003-05-22,-29.5,-26.9,116,353.3568904594,117.7856301531,0,0,353.3568904594,1060.0706713781,0,2.402083393608936,0.3227,1.32,35.74,17.22,0.11
2003,2003-05-24,-21.6,-25,22,71.27583749109999,0,0,0,997.8617248753,142.55167498219998,0,0.0129,0.20101562930735956,1.07,37.29,26.618,0.03
2003,2003-05-24,-21.6,-25,34,0,112.1076233184,0,0,1681.6143497757998,224.2152466368,0,0.0131,0.20347689766614102,1.08,37.291,26.62,0.03
2003,2003-05-24,-21.6,-25,60,0,102.4590163934,102.4590163934,0,1434.4262295082,2356.5573770492,0,0.0163,0.20827460485439117,1.1,37.29,26.624,0.03
2003,2003-05-24,-21.6,-25,140,186.5671641791,0,0,0,149.2537313433,298.5074626866,0,0.0258,0.37558033801871626,1.23,36.608,21.342,0.11
2003,2003-05-24,-21.6,-25,200,129.2407108239,0,0,0,161.5508885299,64.620355412,0,6.7021861814889085,0.5992520807605902,1.86,35.897,17.627,0.03
2003,2003-05-28,-6.5,-25,10,0,0,0,0,264.7837599294,88.2612533098,0,0.0265,0.289,1.09,35.804,28.078000000000007,0.05
2003,2003-06-01,8.5,-30.1,7,0,0,0,0,705.1910582949,0,0,0.0171,0.0535450474991749,1.11,36.303,27.296,0.03
2003,2003-06-01,8.5,-30.1,15,0,0,0,0,815.8592846699,0,0,0.0164,0.058683848301793705,1.11,36.303,27.295,0.03
2003,2003-06-01,8.5,-30.1,27,0,0,0,0,924.3471987947,0,0,0.0177,0.050340280991059104,1.05,36.303,27.289,0.03
2003,2003-06-01,8.5,-30.1,56,324.9390739236,731.1129163282001,81.2347684809,0,1787.16490658,81.2347684809,0,0.29617591363650203,0.06167176274414497,2.03,36.056,23.794,0.21
2003,2003-06-01,8.5,-30.1,97,0,0,0,0,333.0564801342,0,0,2.559798154089724,0.28704862674112497,7.58,35.519,14.95,0.12
2003,2003-06-02,12.2,-32.3,8,0,98.3786333182,0,0,2262.7085663195003,0,0,0.00621,0.041198889000568166,0.75,36.24366666666667,25.906999999999996,0.03333333333333333
2003,2003-06-02,12.2,-32.3,27,0,0,0,0,1239.5495292922,0,0,0.00469,0.026634094936194726,0.77,36.24233333333333,25.878666666666664,0.04
2003,2003-06-02,12.2,-32.3,65,493.3399111988,0,0,0,8978.7863838185,1381.3517513567,0,0.6613911625000244,0.06533368033397856,2.71,35.95033333333333,21.608666666666664,0.24
2003,2003-06-02,12.2,-32.3,97,0,0,0,0,710.5018290519,88.8127286315,0,2.5689374921713974,0.287476728523762,7.47,35.64666666666667,15.093333333333335,0.09333333333333334
2003,2003-06-03,14.4,-33.6,12,0,0,0,0,1647.0080497519,244.00119255580003,0,0.0131,0.02995381347046188,0.65,36.464,24.825,0.02
2003,2003-06-03,14.4,-33.6,100,2456.7531868167002,0,0,0,944.9050718525999,755.9240574821,0,2.5912138346983027,0.289286346652549,1.36,36.894,21.854,0.18
2003,2003-06-04,18,-35.8,12,774.1641683427998,258.0547227809,0,0,4774.012371447,580.6231262571,0,0.0162,0.028103038464199943,0.65,36.715,24.672,0.02
2003,2003-06-04,18,-35.8,42,88.8011840158,88.8011840158,0,0,2486.433152442,355.2047360631,0,0.0112,0.007374183749151711,0.63,36.921,24.38,0.02
2003,2003-06-04,18,-35.8,100,169.145112411,0,0,0,2960.0394671929,84.5725562055,0,0.0378,0.2854957593984352,0.6,37.11,22.575,0.15
2003,2003-06-04,18,-35.8,150,394.12356267309997,0,131.374520891,0,394.12356267309997,0,0,5.542998658518665,0.5071561946607253,1.44,36.787,19.722,0.05
2003,2003-06-05,21.4,-35.8,115,302.9280156484,259.6525848415,0,0,2466.6995559941,649.1314621037001,0,0.0205,0.3092115676623288,0.8,37.331,22.681,0.1
2003,2003-06-06,24.3,-32.6,19,0,0,0,0,2202.0943385158,483.3865621132,0,0.0034,0.015318569190517892,0.68,37.426,23.636,0.016666666666666666
2003,2003-06-06,24.3,-32.6,61,0,0,0,0,4374.442562354,0,0,0.0016,0.014773162042536411,0.71,37.423333333333346,23.197000000000006,0.02333333333333333
2003,2003-06-06,24.3,-32.6,161,155.5936039932,0,0,0,6145.947357729499,933.5616239589,0,0.0957,0.5179654146752299,0.72,37.298,21.70666666666667,0.06999999999999999
2003,2003-06-06,24.3,-32.6,191,636.6626465966,0,212.2208821989,0,2440.540145287,424.44176439769996,0,6.9503149691051735,0.5963237695518647,0.98,36.953,20.167,0.043333333333333335
2003,2003-06-07,26.5,-30.2,21,0,0,0,0,1177.4492430219,1086.8762243279,0,0.0029,0.010531399934888469,0.78,37.339,22.711,0.01
2003,2003-06-07,26.5,-30.2,152,152.8365524586,203.78206994479999,0,0,2088.7662169343,764.182762293,0,0.04,0.48097387262500874,0.9,36.708,18.773,0.08
2003,2003-06-08,29.4,-26.8,17,0,0,0,0,1055.2808976398,3165.8426929193,0,0.0134,0.012461864814022767,0.7356394533980322,37.09,22.07,0.01
2003,2003-06-08,29.4,-26.8,32,0,0,0,0,720.5548849058,2001.5413469604998,0,0.0059,0.0069738459881737245,0.7646221273385257,37.054,20.81,0.02
2003,2003-06-08,29.4,-26.8,58,0,0,0,0,595.581381729,2580.8526541588,0,0.0072,0.01089092953409902,0.8575334699676389,37.049,20.502,0.02
2003,2003-06-08,29.4,-26.8,135,4763.7904728615,125.36290718059999,0,0,3635.5243082364,2757.9839579725,0,0.1175,0.4077219546746097,2.254683146825213,36.923,19.589,0.12
2003,2003-06-08,29.4,-26.8,200,98.6679822398,0,0,0,641.3418845584999,49.3339911199,0,6.912216983658854,0.5943724843925396,2.8706655306716486,36.441,17.277,0.02
2003,2003-06-13,47.1,-13.9,6,0,0,1765.2463865871,0,882.6231932936,1985.9021849105,0,0.023519333435193166,0.02002112158953016,0.6628263508251185,35.692,15.179,0.44
2003,2003-06-13,47.1,-13.9,16,0,0,0,0,1633.2153317109,653.2861326844001,0,0.018427346162054232,0.01267894581169125,0.6907738653527126,35.685,14.844,0.48
2003,2003-06-13,47.1,-13.9,37,0,0,3245.6573105185,0,1248.3297348147998,3495.3232574815,0,0.011364686738917312,0.00668500844680514,0.7232935093320731,35.675,13.696,0.52
2003,2003-06-13,47.1,-13.9,56,0,0,0,0,1106.3270433861,368.7756811287,0,0.12689817275084914,0.009863137985166932,0.8102606451003176,35.688,12.925,0.1
2004,2004-05-02,-41,-41.6,11,2124,0,0,0,116185.2,4885.3,0,0.03631081265362911,0.17753407043422553,1.61,34.9595,16.6755,0.235
2004,2004-05-02,-41,-41.6,19,409.6,204.8,204.8,0,62052,2252.8,0,0.035946553205803186,0.19722010241985824,1.62,34.96,16.683500000000002,0.23
2004,2004-05-02,-41,-41.6,34,1472.2,0,184,0,77291,2576.4,184,0.03516178318082786,0.19876259595305268,1.1476064686327776,34.96,16.682499999999994,0.245
2004,2004-05-02,-41,-41.6,66,1435.9093415363,0,0,0,66719.6,717.9546707682001,0,0.5709147082226267,0.20693723354608518,1.3235645785573018,34.9675,16.1195,0.13
2004,2004-05-02,-41,-41.6,81,1347.5805334607,0,0,0,17653.3049883357,269.5161066921,0,0.7321449716229945,0.20632765115932783,3.11,34.7455,12.09,0.035
2004,2004-05-05,-33,-31,15,101.22820594950001,0,0,0,2024.5641189908,607.3692356972,0,0.03605730455495419,0.17989535691806569,2.48,35.62600000000001,22.112,0.015
2004,2004-05-05,-33,-31,25,0,95.1674807256,0,0,1713.0146530609,856.5073265304,0,0.03492662634846276,0.19951504650912977,2.48,35.62600000000001,22.1175,0.02
2004,2004-05-05,-33,-31,45,0,0,0,0,681.6750464474,681.6750464474,0,0.030000000000000006,0.0287,2.71,35.62600000000001,22.1215,0.02
2004,2004-05-05,-33,-31,101,0,0,0,0,139.6022970938,5304.8872895647,0,2.3777191789992873,0.053,2.94,35.7405,18.011000000000006,0.08499999999999999
2004,2004-05-05,-33,-31,151,264.9197079734,0,0,0,198.68978098,132.4598539867,0,4.52376478941303,0.47318317182941305,3.84,35.59399999999999,16.0635,0.03
2004,2004-05-08,-24.2,-25,120,464.8,0,0,0,132.8,398.4,0,2.2620696526317507,0.0682,1.07,36.2955,20.4955,0.09
2004,2004-05-08,-24.2,-25,121,331,0,0,0,66.2,331,0,2.283124613540963,0.31584286740239637,1.8007410395763368,36.288000000000004,20.454,0.08499999999999999
2004,2004-05-08,-24.2,-25,165,392.4,0,0,0,0,0,0,4.811398005224448,0.1211,1.48,35.85,17.7155,0.025
2004,2004-05-10,-15.2,-25,59,0,0,110.0430909526,0,1540.6032733357001,0,0,0.0217,0.1962283792491057,1.14,37.26300000000001,25.993,-0.01
2004,2004-05-10,-15.2,-25,129,63.5367846571,0,0,0,571.8310619142,317.68392328560003,0,0.0799,0.2926443513863892,1.22,36.712,22.288,0.12
2004,2004-05-10,-15.2,-25,158,380,0,0,0,190,60,0,5.669716780920285,0.5397827281251915,1.66,36.366,20.255,0.05
2004,2004-05-10,-15.2,-25,178,654.8175865295,0,0,0,654.8175865295,0,0,6.833655751812436,0.5825916719251489,2.1,36.09,18.66,0.05
2004,2004-05-10,-15.2,-25,198,250,0,0,0,250,0,0,7.2032447353879325,0.6247536092689164,2.45,35.91900000000001,17.636,0.03
